N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
137,LS,"47,850","1,350",+2.90%,"5,000","15,408","32,200",10.95,"323,821",-35.42,0.80,
138,F&F,"97,500","1,700",-1.71%,500,"15,015","15,400",10.07,"17,155",14.61,25.13,
139,LG생활건강우,"715,000","2,000",-0.28%,"5,000","15,013","2,100",87.66,"1,292",16.31,N/A,
140,한국테크놀로지그룹,"16,000",100,+0.63%,500,"14,883","93,020",6.79,"496,486",11.84,4.71,
141,만도,"31,450",400,-1.26%,"1,000","14,768","46,957",24.46,"219,169",-35.66,7.55,
142,한화시스템,"13,350",400,+3.09%,"5,000","14,716","110,230",2.18,"4,539,448",18.91,8.15,
143,한화에어로스페이스,"28,850","2,050",+7.65%,"5,000","14,607","50,630",16.67,"1,677,063",13.64,5.45,
144,NHN,"74,400",200,+0.27%,500,"14,556","19,565",11.71,"74,140",56.66,0.78,
145,메리츠화재,"12,800",150,+1.19%,500,"14,551","113,680",11.82,"42,947",4.14,12.80,
146,SK디스커버리,"76,200",400,-0.52%,"5,000","14,507","19,038",9.84,"137,492",5.93,11.52,
147,효성,"67,900",200,+0.30%,"5,000","14,307","21,071",5.88,"31,247",52.39,4.25,
148,아이에스동서,"45,850",300,-0.65%,500,"14,164","30,893",5.36,"50,034",24.25,6.10,
149,더블유게임즈,"75,900",100,+0.13%,500,"13,946","18,375",15.51,"68,955",13.22,18.93,
150,한화생명,"1,585",10,+0.63%,"5,000","13,766","868,530",7.66,"1,918,945",8.17,0.51,
151,대웅제약,"118,500","2,500",+2.16%,"2,500","13,730","11,587",5.00,"213,951",-553.74,4.34,
152,영원무역,"30,450",600,-1.93%,500,"13,493","44,311",23.23,"109,145",9.58,9.82,
153,현대백화점,"57,200",700,+1.24%,"5,000","13,386","23,402",18.95,"160,052",10.58,4.64,
154,롯데관광개발,"18,900",0,0.00%,500,"13,093","69,276",6.65,0,-28.68,-4.77,
155,파미셀,"21,650",200,+0.93%,500,"12,981","59,959",6.89,"1,090,465",212.25,8.78,
156,KCC,"146,000","2,000",+1.39%,"5,000","12,974","8,886",13.46,"33,689",-616.03,-4.37,
